Disease	Acc_Id	Annotations	Annotated Genes	Strains	Matched By
Congenital tracheal stenosis	DOID:9000527	0		synonym
Congenital tracheobronchomegaly	DOID:9005362	0		synonym
Congenital tracheomalacia	DOID:0060313	0		synonym
Congenital tufting enteropathy	DOID:0060776	1		synonym
Conjunctival melanoma	DOID:1751	0		synonym
Conorenal syndrome	DOID:0110097	5		synonym
Conotruncal anomaly face syndrome	DOID:9007617	7		synonym
Conotruncal heart malformations	DOID:9007617	7		synonym
Constitutional mismatch repair deficiency syndrome	DOID:0112182	13		synonym
Constrictive bronchiolitis	DOID:2799	37		synonym
Cooks syndrome	DOID:9007528	0		synonym
Cooley anemia	DOID:0080771	2		synonym
CoPAN	DOID:0110740	1		synonym
COPA syndrome	DOID:0081242	85		synonym
Coppock-like cataract	HP:0010698	0		synonym
COQ4-related neonatal encephalomyopathy	DOID:0070244	34		synonym
Cori disease	DOID:2748	2		synonym
Corneal dystrophy with progressive deafness	DOID:0111620	1		synonym
Corpus callosum agenesis-neuronopathy syndrome	DOID:0090003	5		synonym
Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation	DOID:0090137	2		synonym
Cortical visual impairment	HP:0100704	0		synonym
Corticobasal syndrome	DOID:9003713	38		synonym
Costeff optic atrophy syndrome	DOID:0110004	2		synonym
Costeff syndrome	DOID:0110004	2		synonym
Costovertebral segmentation defect-mesomelia syndrome	DOID:0060764	2		synonym
COVESDEM syndrome	DOID:0060764	2		synonym
Cowchock syndrome	DOID:0110212	2		synonym
Cowden disease	DOID:6457	12		synonym
Coxopodopatellar syndrome	DOID:0111382	1		synonym
COXPD10	DOID:0111480	1		synonym
COXPD11	DOID:0111481	2		synonym
COXPD12	DOID:0111493	2		synonym
COXPD13	DOID:0111467	1		synonym
COXPD14	DOID:0111477	2		synonym
COXPD15	DOID:0111491	1		synonym
COXPD16	DOID:0111469	1		synonym
COXPD17	DOID:0111496	1		synonym
COXPD2	DOID:0111483	1		synonym
COXPD20	DOID:0111478	1		synonym
COXPD21	DOID:0111465	1		synonym
COXPD23	DOID:0111500	1		synonym
COXPD24	DOID:0111485	1		synonym
COXPD25	DOID:0111468	1		synonym
COXPD26	DOID:0111490	1		synonym
COXPD27	DOID:0111489	8		synonym
COXPD28	DOID:0111470	1		synonym
COXPD29	DOID:0111501	1		synonym
COXPD30	DOID:0111471	1		synonym
COXPD39	DOID:0111475	1		synonym
COXPD4	DOID:0111494	1		synonym
COXPD5	DOID:0111473	1		synonym
COXPD7	DOID:0111487	14		synonym
COXPD8	DOID:0111479	3		synonym
COXPD9	DOID:0111472	1		synonym
CPI	DOID:674	108		synonym
CPLS syndrome	DOID:0080313	1		synonym
CPP	DOID:2626	1		synonym
CPP	DOID:2626	1		synonym
CPT1A deficiency	DOID:0090129	1		synonym
CPXD	DOID:0080352	2		synonym
Craniocarpotarsal dysplasia	DOID:0111604	1		synonym
Craniocarpotarsal dystrophy	DOID:0111604	1		synonym
Craniocerebellocardiac dysplasia	DOID:0060565	4		synonym
Craniofacial dysmorphism-coloboma-corpus callosum agenesis syndrome	DOID:0111621	64		synonym
Craniofacial-ulnar-renal syndrome	DOID:0060225	20		synonym
Craniofrontonasal dysplasia	DOID:14737	4		synonym
Craniosynostosis-midfacial hypoplasia-foot abnormalities syndrome	DOID:0111337	2		synonym
CRAPB	DOID:9009010	0		synonym
CRASH syndrome	DOID:0060246	3		synonym
CRBM	DOID:1856	46		synonym
CRD	DOID:0050572	87		synonym
Cree leukoencephalopathy	DOID:0060868	8		synonym
CRIE	DOID:9006224	2		synonym
Crimean hemorrhagic fever	DOID:12287	1		synonym
Crisponi syndrome	DOID:0060294	3		synonym
Criswick-Schepens syndrome	DOID:0111412	18		synonym
CRMCC	DOID:9003025	3		synonym
Cross syndrome	DOID:9008400	0		synonym
Crouzon craniofacial dysostosis	DOID:2339	29		synonym
Crouzon-dermoskeletal syndrome	DOID:0111161	1		synonym
CRS	DOID:2340	234		synonym
CRVO	DOID:2450	2		synonym
Cryopyrin-associated periodic syndrome	DOID:9008464	31		synonym
Cryopyrinopathy	DOID:9008464	31		synonym
Cryptophthalmos-syndactyly syndrome	DOID:0090001	19	FPL(13464329)	synonym
Crystalline stromal dystrophy	DOID:0060456	1		synonym
CSCD	DOID:0060445	1		synonym
CSID	DOID:0111633	1		synonym
CSS	DOID:1925	19		synonym
CSWS	DOID:9002510	2		synonym
CTLN1	DOID:0070340	3		synonym
CTLN2	DOID:0070342	1		synonym
CTX	DOID:4810	54		synonym
CUD	DOID:14365	13		synonym
Currarino idiopathic osteoarthropathy	DOID:9000622	1		synonym
Currarino triad	DOID:0111546	58		synonym
Current pressure-sensitive neuropathy	DOID:0060843	3		synonym
Cushing disease	DOID:3946	6		synonym
Cushing syndrome due to ectopic ACTH secretion	DOID:0060890	0		synonym
Cushing syndrome due to macronodular adrenal hyperplasia	DOID:0111622	3		synonym
Cutaneous larva migrans	DOID:9003940	3		synonym
Cutis hyperelastica	DOID:13359	226		synonym
Cutis laxa-corneal clouding-intellectual disability syndrome	DOID:0070143	2		synonym
CVID	DOID:12177	195		synonym
CYLD cutaneous syndrome	DOID:0050693	1		synonym
Cystathionase deficiency	DOID:0090142	1		synonym
Cystic leukoencephalopathy without megalencephaly	DOID:0081007	3		synonym
Cystinuria type A	DOID:9266	7		synonym
Cystinuria type B	DOID:9266	7		synonym
Cystoid macular dystrophy	DOID:4447	0		synonym
DA1	DOID:0111596	25		synonym
DA10	DOID:0111593	0		synonym
DA5D	DOID:0111594	1		synonym
Darier disease	DOID:2734	4		synonym
DCM	HP:0001644	0		synonym
DCMA syndrome	DOID:0110000	3		synonym
DCMD	DOID:4447	0		synonym
DDOD syndrome	DOID:0080720	1		synonym
Deafness-enamel hypoplasia-nail defects syndrome	DOID:0080623	4		synonym
Deafness-encephaloneuropathy-obesity-valvulopathy syndrome	DOID:0070239	2		synonym
Deafness-infertility syndrome	DOID:9002477	5		synonym
Deafness-onychodystrophy-osteodystrophy-intellectual disability-seizures syndrome	DOID:0111627	1		synonym
Deafness-onychodystrophy-osteodystrophy-intellectual disability syndrome	DOID:0111627	1		synonym
Deafness-onychoosteodystrophy-intellectual disability syndrome	DOID:0111627	1		synonym
Deafness-pili torti-hypogonadism syndrome	DOID:0050677	1		synonym
De Barsy syndrome	DOID:0070143	2		synonym
Deciduous skin	DOID:0060283	8		synonym
Deficiency of IL-36R antagonist	DOID:0080474	2		synonym
Degos disease	DOID:9001237	0		synonym
De Grouchy syndrome	DOID:0060406	50		synonym
Del(2)(q37)	DOID:0111704	54		synonym
De la Chapelle dysplasia	DOID:9006897	1		synonym
De la Chapelle syndrome	DOID:0111760	7		synonym
Deletion 11p13	DOID:9002250	0		synonym
Deletion 13q14	DOID:0060391	72		synonym
Deletion 18q	DOID:0060407	57		synonym
Deletion 1p36	DOID:0060410	72		synonym
Deletion 2q37	DOID:0111704	54		synonym
Deletion 5q35	DOID:9007922	0		synonym
Delleman syndrome	DOID:9004316	0		synonym
Delta-sarcoglycanopathy	DOID:0110280	1		synonym
De Morsier syndrome	DOID:0060857	13		synonym
Dendritic cell, monocyte, B and NK lymphoid deficiency	DOID:0111947	8		synonym
DEND syndrome	DOID:9007447	1		synonym
Dengue fever	DOID:12205	21		synonym
Dense deposit disease	DOID:2920	38	BN(631594)	synonym
Dental ankylosis	DOID:12661	0		synonym
Dent disease type 2	DOID:9007045	2		synonym
Dentinogenesis imperfecta, Shields type 2	DOID:4154	11		synonym
Dentinogenesis imperfecta without osteogenesis imperfecta	DOID:4154	11		synonym
Dentoleukoencephalopathy	DOID:0060794	3		synonym
Dercum disease	DOID:3928	0		synonym
Dermochondrocorneal dystrophy	DOID:9000108	0		synonym
Desbuquois syndrome	DOID:0060462	7		synonym
Desminopathy	DOID:0080092	44		synonym
Desmin-related myofibrillar myopathy	DOID:0080092	44		synonym
Desmin-related myopathy with Mallory body-like inclusions	DOID:0110633	5		synonym
De Vaal disease	DOID:0060020	1		synonym
Devic disease	DOID:8869	13	SD-<i>Cd59<sup>em1-/</sup></i><i>Cd59<sup>em1-</sup></i>(13792606)	synonym
De Vivo disease	DOID:9007802	6		synonym
DFSP	DOID:3507	2		synonym
D-glycerate dehydrogenase deficiency	DOID:0111671	1		synonym
D-glycerate kinase deficiency	DOID:0111626	1		synonym
D-glyceric acidemia	DOID:0111626	1		synonym
DGSX	DOID:0060248	4		synonym
DHFR deficiency	DOID:9003312	2		synonym
dHMN1	DOID:0111200	4		synonym
dHMN3 and dHMN4	DOID:0111211	0		synonym
dHMN5	DOID:0111203	4		synonym
dHMN6	DOID:0111064	1		synonym
dHMN7	DOID:0111199	19		synonym
dHMNJ	DOID:0111065	49		synonym
dHMN with upper motor neuron signs	DOID:0060196	1		synonym
DHRD	DOID:0060745	2		synonym
Diabetes-hypogonadism-deafness-intellectual disability syndrome	DOID:0112264	2		synonym
Diabetes-hypogonadism-hearing loss-intellectual disability syndrome	DOID:0112264	2		synonym
Dianzani autoimmune lymphoproliferative disease	DOID:9008940	0		synonym
Diaphorase deficiency	DOID:9002339	1		synonym
Diaphragmatic hernia-abnormal face-distal limb anomalies syndrome	DOID:9003981	0		synonym
Diaphragmatic hernia-exomphalos-hypertelorism syndrome	DOID:0090144	2		synonym
Diaphragmatic hernia-hypertelorism-myopia-deafness syndrome	DOID:0090144	2		synonym
Diaphragmatic spinal muscular atrophy	DOID:0111064	1		synonym
Diaphyseal dysplasia-anemia syndrome	DOID:0112251	1		synonym
Diaphyseal medullary stenosis-malignant fibrous histiocytoma syndrome	DOID:0080664	1		synonym
Diarrheogenic islet cell tumor	DOID:5574	3		synonym
Diastrophic dwarfism	DOID:14687	1		synonym
DIDMOAD syndrome	DOID:10632	4		synonym
Diencephalic-mesencephalic junction dysplasia	DOID:9002171	3		synonym
Diffuse cutaneous systemic sclerosis	DOID:1580	18		synonym
Diffuse familial brain sclerosis	DOID:3210	17		synonym
Diffuse palmoplantar keratoderma, Bothnian type	DOID:0111707	1		synonym
DiGeorge sequence	DOID:11198	86		synonym
Digital anomalies with short palpebral fissures and atresia of esophagus or duodenum	DOID:0060464	1		synonym
Dihydrolipoamide dehydrogenase deficiency	DOID:9002135	1		synonym
Dihydropteridine reductase deficiency	DOID:0081130	1		synonym
Dihydropyrimidinuria	DOID:14218	2		synonym
Dilated cardiomyopathy with ataxia	DOID:0110000	3		synonym
DILE	DOID:0040093	0		synonym
DIPG	DOID:9004158	3		synonym
Diphallia	HP:0100599	0		synonym
DIRA	DOID:9007151	4		synonym
DIS	DOID:9002477	5		synonym
Disaccharide intolerance	DOID:0111633	1		synonym
Disorder of glycolysis	DOID:9005912	1		synonym
Disorder of sex development	DOID:1923	210	KH(2301330)|LE(2301315)|LE(10047391)|SS-<i>Adamts16<sup>em1</sup></i>(13437612)	synonym
Dissecting cellulitis of the scalp	DOID:9007562	0		synonym
Disseminated dermatofibrosis with osteopoikilosis	DOID:0111536	2		synonym
Disseminated lupus erythematosus	DOID:9074	207		synonym
Disseminated peritoneal leiomyomatosis	DOID:5728	0		synonym
Disseminated superficial actinic porokeratosis	DOID:3805	7		synonym
Distal 15q deletion syndrome	DOID:0060397	14		synonym
Distal 16p11.2 microdeletion syndrome	DOID:0060398	43		synonym
Distal 22q11.2 microdeletion syndrome	DOID:0060413	58		synonym
Distal ABD-filaminopathy	DOID:0111190	3		synonym
Distal arthrogryposis type 5 without ophthalmoparesis	DOID:0111594	1		synonym
Distal arthrogryposis type 5 without ophthalmoplegia	DOID:0111594	1		synonym
Distal arthrogryposis type 9	DOID:0111595	1		synonym
Distal arthrogryposis type IIB	DOID:0111608	1		synonym
Distal arthrogryposis type IID	DOID:0111610	0		synonym
Distal arthrogryposis with ophthalmoplegia	DOID:0111608	1		synonym
Distal arthrogryposis with peculiar facies and hydronephrosis	DOID:0080736	1		synonym
Distal duplication 10q	DOID:9006261	0		synonym
Distal duplication 15q	DOID:9007756	0		synonym
Distal duplication 16p	DOID:0060431	0		synonym
Distal duplication 6q	DOID:9007333	0		synonym
Distal hereditary motor neuropathy, Jerash type	DOID:0111065	49		synonym
Distal hereditary motor neuropathy type 2	DOID:0111206	5		synonym
Distal hereditary motor neuropathy type 3 and type 4	DOID:0111211	0		synonym
Distal hereditary motor neuropathy type 6	DOID:0111064	1		synonym
Distal hereditary motor neuropathy with upper motor neuron signs	DOID:0060196	1		synonym
Distal-HMN type 6	DOID:0111064	1		synonym
Distal HMN V	DOID:0111203	4		synonym
Distal monosomy 10q	DOID:0060390	41		synonym
Distal monosomy 15q	DOID:0060397	14		synonym
Distal monosomy 3p	DOID:0060417	39		synonym
Distal monosomy 6p	DOID:0060422	0		synonym
Distal monosomy 9p	DOID:9004350	0		synonym
Distal muscular dystrophy	DOID:11720	28		synonym
Distal myopathy, Nonaka type	DOID:0080718	3		synonym
Distal myopathy, Tateyama type	DOID:0111191	3		synonym
Distal myopathy type 1	DOID:0070197	2		synonym
Distal myopathy type 3	DOID:0111189	0		synonym
Distal myopathy with anterior tibial onset	DOID:0111187	1		synonym
Distal myopathy with posterior leg and anterior hand involvement	DOID:0111190	3		synonym
Distal myopathy with rimmed vacuoles	DOID:0080718	3		synonym
Distal myopathy with vocal cord weakness	DOID:0060212	1		synonym
Distal spinal muscular atrophy	DOID:12377	144		synonym
Distal spinal muscular atrophy with vocal cord paralysis	DOID:0111199	19		synonym
Distal titinopathy	DOID:0111078	1		synonym
Distal trisomy 11q	DOID:9004084	238		synonym
Distal trisomy 16p	DOID:0060431	0		synonym
DITRA	DOID:0080474	2		synonym
D,L-2-HGA	DOID:0111619	1		synonym
D,L-2-hydroxyglutaric acidemia	DOID:0111619	1		synonym
D,L-2-hydroxyglutaric aciduria	DOID:0111619	1		synonym
DLBCL	DOID:0050745	58		synonym
DLD deficiency	DOID:9002135	1		synonym
DMD	DOID:11723	31	SD-<i>Dmd<sup>em1Ang</sup></i>(12880037)|W-<i>Dmd<sup>em1</sup></i>(10045593)	synonym
DMGDH deficiency	DOID:9005574	1		synonym
DMRV	DOID:0080718	3		synonym
DNA2-related mitochondrial DNA deletion syndrome	DOID:0111519	0		synonym
DNET	DOID:2679	1		synonym
DOA+	DOID:0111340	1		synonym
Dobrin syndrome	DOID:9006404	5		synonym
DOCK2 deficiency	DOID:0111951	8		synonym
Dolichol kinase deficiency	DOID:0080565	2		synonym
DOLV	MP:0010427	0		synonym
Donath-Landsteiner hemolytic anemia	DOID:10507	0		synonym
Donath-Landsteiner syndrome	DOID:10507	0		synonym
DOOR syndrome	DOID:0111627	1		synonym
Dopa-responsive dystonia	DOID:0090043	3		synonym
Dopa-responsive dystonia due to sepiapterin reductase deficiency	DOID:0111168	1		synonym
DORV	DOID:9007617	7		synonym
Double outlet right ventricle with subpulmonary ventricular septal defect	DOID:6406	15		synonym
Dracunculosis	DOID:14418	0		synonym
Drash syndrome	DOID:3764	8		synonym
DRD due to SRD	DOID:0111168	1		synonym
DRESS syndrome	DOID:9007806	12		synonym
DRPLA	DOID:0060162	1		synonym
DRS	DOID:12557	6		synonym
Drug reaction with eosinophilia and systemic symptoms	DOID:9007806	12		synonym
Drummond syndrome	DOID:9007307	0		synonym
dSMA1	DOID:0111064	1		synonym
dSMA2	DOID:0111065	49		synonym
dSMA3	DOID:0111211	0		synonym
dSMA4	DOID:0111213	3		synonym
dSMA5	DOID:0111214	5		synonym
DSMAX	DOID:0111196	1		synonym
DTDP1	DOID:9003504	1		synonym
DTDP2	DOID:9008389	1		synonym
Duane syndrome	DOID:12557	6		synonym
Duchenne and Becker muscular dystrophy	DOID:11723	31	SD-<i>Dmd<sup>em1Ang</sup></i>(12880037)|W-<i>Dmd<sup>em1</sup></i>(10045593)	synonym
Dunbar syndrome	HP:0012327	0		synonym
Duncan disease	DOID:0060704	886	F344-<i>Atm<sup>em1</sup></i>(12879400)|F344-<i>Atm<sup>m1</sup></i>(12879394)|F344(1302686)|LEXF10A(1302621)|LEXF10B(1302616)|LEXF10C(1302612)|LEXF11(1302638)|LEXF1A(1302641)|LEXF1B(4140413)|LEXF1C(1302666)|LEXF2A(1302605)|LEXF2B(1302710)|LEXF2C(1302646)|LEXF3(1302707)|LEXF4(1302604)|LEXF6A(4140405)|LEXF7A(1302652)|LEXF7B(1302649)|LEXF7C(1302597)|LEXF8D(1302699)|LOU(126779578)	synonym
Dunnigan syndrome	DOID:0070202	1		synonym
Du Pan syndrome	DOID:0050790	2		synonym
Duplication 12p	DOID:9002358	0		synonym
Duplication 18p	DOID:9000490	0		synonym
Duplication 4p	DOID:9005868	0		synonym
Duplication 8p	DOID:9003296	0		synonym
Duplication 8q	DOID:9000767	0		synonym
Dusty cataract	DOID:0110248	2		synonym
Dutch-Kentucky syndrome	DOID:0111603	2		synonym
DWM with postaxial polydactyly	DOID:9002277	0		synonym
DYRK1A-related intellectual disability syndrome	DOID:0070037	9		synonym
DYRK1A syndrome	DOID:0070037	9		synonym
Dysbetalipoproteinemia	DOID:3145	4		synonym
Dyschondroplasia	DOID:2256	617	F344<i><sup>tl</sup></i>(11081177)	synonym
Dysencephalia splanchnocystica	DOID:0070115	8		synonym
Dysequilibrium syndrome	DOID:0050997	4		synonym
Dysphasia	DOID:0060046	5		synonym
Dystonia 18	DOID:0090045	1		synonym
Dystrophic epidermolysis bullosa	DOID:4959	5		synonym
Dystrophic epidermolysis bullosa pruriginosa	DOID:9006711	1		synonym
DYT12	DOID:0090056	3		synonym
DYT13	DOID:0090037	0		synonym
DYT16	DOID:0090048	5		synonym
DYT18	DOID:0090045	1		synonym
DYT2	DOID:0090038	1		synonym
DYT21	DOID:0090046	0		synonym
DYT23	DOID:0090051	1		synonym
DYT24	DOID:0090052	1		synonym
DYT25	DOID:0090055	1		synonym
DYT28	DOID:9004049	1		synonym
DYT29	DOID:9003458	1		synonym
DYT3	DOID:0090057	1		synonym
DYT4	DOID:0090041	1		synonym
DYT6	DOID:0090039	1		synonym
DYT9	DOID:0090044	1		synonym
Eagle-Barret syndrome	DOID:0060889	3		synonym
Early-onset cataract with Y-shaped suture opacities	DOID:0110254	0		synonym
Early-onset desmin-related myopathy	DOID:0110633	5		synonym
Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome	DOID:0080415	2		synonym
Early-onset generalized torsion dystonia	DOID:0060730	1		synonym
Early-onset Lafora body disease	DOID:0111445	2		synonym
Early-onset Parkinson disease	DOID:0060894	50		synonym
Early-onset parkinsonism-intellectual disability syndrome	DOID:0111781	1		synonym
Early-onset primary dystonia	DOID:0060730	1		synonym
Early-onset prion disease with prominent psychiatric features	DOID:0090103	1		synonym
Early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome	DOID:0112344	1		synonym
EBMD	DOID:0060447	1		synonym
Ebola virus disease	DOID:4325	2		synonym
EBS-PA	DOID:9003881	1		synonym
EBS with pyloric atresia	DOID:9003881	1		synonym
Eccrine tumors-ectodermal dysplasia	DOID:0111647	1		synonym
Echinococcus multilocularis infection	DOID:12148	4		synonym
ECO syndrome	DOID:0060641	3		synonym
Ectodermal dysplasia-ectrodactyly-macular dystrophy syndrome	DOID:0111649	1		synonym
Ectopic ACTH secreting tumor	DOID:0060890	0		synonym
Eczema-thrombocytopenia-immunodeficiency syndrome	DOID:9169	4		synonym
EDA-ID	DOID:0081078	2		synonym
EDM1	DOID:0070303	2		synonym
EDM4	DOID:0070300	1		synonym
EDM5	DOID:0070299	2		synonym
EDMD	DOID:11726	35		synonym
EDMD2	DOID:0070247	1		synonym
EDMD3	DOID:0070248	1		synonym
EDS III	DOID:14757	3		synonym
EDS IV	DOID:9001287	4		synonym
EDSS1	DOID:9002370	1		synonym
EDSS2	DOID:9000416	0		synonym
EDS VI	DOID:0080734	5		synonym
EDS VIII	DOID:0080986	2		synonym
EEC	DOID:0060784	0		synonym
EEM syndrome	DOID:0111649	1		synonym
EFMR	DOID:0060848	10		synonym
EHK	DOID:4603	7		synonym
Ehlers-Danlos syndrome, arthrochalasia type	DOID:0080727	4		synonym
Ehlers-Danlos syndrome due to tenascin-X deficiency	DOID:0080731	1		synonym
Ehlers-Danlos syndrome, periodontitis type	DOID:0080986	2		synonym
Ehlers-Danlos syndrome type 3	DOID:14757	3		synonym
Ehlers-Danlos syndrome type 5	DOID:0111765	1		synonym
Ehlers-Danlos syndrome type 6	DOID:0080734	5		synonym
Ehlers-Danlos syndrome type 8	DOID:0080986	2		synonym
EIHI	DOID:0070214	1		synonym
Eisenmenger syndrome	DOID:9004363	1		synonym
EKV	DOID:0050467	10		synonym
Elejalde syndrome	DOID:9002581	0		synonym
Elschnig syndrome	DOID:0080344	2		synonym
EMARDD	DOID:0111333	1		synonym
Emberger syndrome	DOID:9008754	121		synonym
Embryonal carcinoma of the central nervous system	DOID:7232	0		synonym
Encephalitis lethargica	DOID:5225	0		synonym
Encephaloclastic proliferative vasculopathy	DOID:0111666	1		synonym
Encephalofacial angiomatosis	DOID:0111563	8		synonym
Encephalopathy due to GLUT1 deficiency	DOID:9007802	6		synonym
Encephalopathy due to prosaposin deficiency	DOID:0111330	2		synonym
Encephalopathy due to urocanase deficiency	DOID:0112180	1		synonym
Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome	DOID:0070242	1		synonym
Encephalopathy with basal ganglia calcification	DOID:0050629	111		synonym
Encephalotrigeminal angiomatosis	DOID:0111563	8		synonym
Endometrioid carcinoma of ovary	DOID:5828	60		synonym
Endomyocardial fibroelastosis	DOID:12929	102		synonym
Endosteal hyperostosis, Worth type	DOID:0080037	1		synonym
Endosteal sclerosis-cerebellar hypoplasia syndrome	DOID:0060797	2		synonym
Enlarged parietal foramina	DOID:0060285	2		synonym
Enteric anendocrinosis	DOID:0060779	1		synonym
Enthesitis-related juvenile idiopathic arthritis	DOID:676	152		synonym
EOMFC	DOID:9006785	2		synonym
Eosinophilic cellulitis	DOID:9005671	0		synonym
Eosinophilic colitis	HP:0031813	0		synonym
Eosinophilic enteritis	DOID:4031	2		synonym
EOTD	DOID:0060730	1		synonym
Ependymal tumor	DOID:9005834	13		synonym
Epidermal nevus syndrome	DOID:0111530	4		synonym
Epidermolysis bullosa letalis	DOID:0060737	4		synonym
Epidermolysis bullosa progressiva	DOID:3209	9		synonym
Epidermolysis bullosa simplex, Koebner type	DOID:9000523	3		synonym
Epidermolysis bullosa simplex with pyloric atresia	DOID:9003881	1		synonym
Epilepsy-cortical blindness-intellectual disability-facial dysmorphism syndrome	DOID:0080415	2		synonym
Epilepsy-dementia-amelogenesis imperfecta syndrome	DOID:0111668	21		synonym
Epilepsy of infancy with migrating focal seizures	DOID:0080421	7		synonym
Epilepsy syndrome	DOID:1826	2619	F344-<i>Kcna1<sup>Adms</sup></i>(2314163)|F344-<i>Lgi1<sup>m1Kyo</sup></i>(8552275)|F344-<i>Phf24<sup>em2</sup></i>(38676450)|F344-<i>Scn1a<sup>m1</sup></i>(2306042)|F344-<i>Scn1a<sup>m2</sup></i>(2306041)|F344-<i>Sv2a<sup>m1</sup></i>(7800671)|GRY(1599759)|NE(1559031)|NER(628486)|SD-<i>Bckdk<sup>m1</i></sup>(39457947)|SD-<i>Cntnap2<sup>em1</sup></i>(11568646)|SD-<i>GEPR-3</i>(13450922)|SD-<i>GEPR-9</i>(12738218)|SER(1302695)|TRM(1302702)|W-<i>Plp</i><sup>md</sup>(1358918)|WI-<i>Cit<sup>fh</sup></i>(6482243)|WIC-<i>Wwox<sup>lde</sup></i>(150429960)	synonym
Epileptic encephalopathy with global cerebral demyelination	DOID:0080349	1		synonym
Epimerase deficiency galactosemia	DOID:0111458	2		synonym
Episkopi blindness	DOID:0060844	4		synonym
Episodic ataxia with myokymia	DOID:0050989	15	F344-<i>Kcna1<sup>Adms</sup></i>(2314163)	synonym
Episodic choreoathetosis/spasticity	DOID:0090044	1		synonym
Epithelioma calcificans of Malherbe	DOID:5374	4		synonym
EPM1	DOID:3535	3		synonym
EPM2	DOID:3534	3		synonym
EPM3	DOID:0111446	2		synonym
EPM4	DOID:0111444	1		synonym
EPM5	DOID:0111276	5		synonym
EPM6	DOID:0111449	2		synonym
EPM7	DOID:0111447	25		synonym
EPM8	DOID:0111451	15		synonym
EPM9	DOID:0111450	1		synonym
EPP	DOID:13270	8		synonym
EPPK	DOID:0080223	3		synonym
ERED	DOID:0070337	1		synonym
Erythrokeratodermia with ataxia	DOID:0050981	1		synonym
Escobar syndrome	DOID:0080110	5		synonym
Esophageal adenocarcinoma	DOID:4914	48		synonym
Esophageal squamous cell carcinoma	DOID:3748	185	SD-<i>Mir31<sup>em1</sup></i>(127285380)	synonym
Essential pentosuria	DOID:0111258	1		synonym
Esthesioneuroblastoma	DOID:369	1		synonym
Estrogen resistance syndrome	DOID:9002239	3		synonym
EVMPS	DOID:0080110	5		synonym
Exercise-induced hyperinsulinemic hypoglycemia	DOID:0070214	1		synonym
Exercise-induced hyperinsulinism	DOID:0070214	1		synonym
Exercise-induced malignant hyperthermia	DOID:8545	13		synonym
Exomphalos-macroglossia-gigantism syndrome	DOID:5572	8		synonym
Exstrophy-epispadias complex	DOID:0080173	10		synonym
Extramammary Paget disease	DOID:3450	1		synonym
Extramedullary myeloid tumor	DOID:8683	3		synonym
Extraskeletal Ewing sarcoma	DOID:4232	1		synonym
F5F8D	DOID:9000717	2		synonym
Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion	DOID:0081126	1		synonym
Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation	DOID:0081126	1		synonym
Faciocutaneoskeletal syndrome	DOID:0050469	9		synonym
Faciodigitogenital syndrome	DOID:0111824	2		synonym
Faciogenital dysplasia	DOID:0111824	2		synonym
Facio-genito-popliteal syndrome	DOID:0060055	3		synonym
Facio-oculo-acoustico-renal syndrome	DOID:0090144	2		synonym
Facio-pharyngo-glossal diplegia with automatic-voluntary movement dissociation	DOID:9000449	0		synonym
Factor V Quebec	DOID:0111050	1		synonym
FACU	DOID:0090064	6		synonym
FADS	DOID:0111375	58		synonym
FAH deficiency	DOID:9275	10	SD-<i>Fah<sup>em10-/-</sup></i>(14398828)|SD-<i>Fah<sup>em15-/-</sup></i>(14398825)	synonym
FAHN	DOID:0110786	1		synonym
FAME	DOID:0111689	8		synonym
Familial abdominal aortic aneurysm	DOID:7693	50	BN(60985)|BN(69638)	synonym
Familial advanced sleep-phase syndrome	DOID:0050628	9		synonym
Familial afibrinogenemia	DOID:2236	5		synonym
Familial Alzheimer disease	DOID:10652	490	OXYS(68114)|SD-Tg(UbC-APPswe)6590(2290387)|SHR-Tg(Thy1-MAPT)(2290298)|SHR-Tg(Thy1-MAPT)(2290299)	synonym
Familial amyloidosis, Finnish type	DOID:0050637	1		synonym
Familial amyloid polyneuropathy type IV	DOID:0050637	1		synonym
Familial aortic dissection	DOID:9008615	11		synonym
Familial APOA5 deficiency	DOID:0111421	1		synonym
Familial APOC2 deficiency	DOID:0111418	1		synonym
Familial apoC-II deficiency	DOID:0111418	1		synonym
Familial apolipoprotein A-V deficiency	DOID:0111421	1		synonym
Familial articular chondrocalcinosis	DOID:9006590	2		synonym
Familial atypical cold urticaria	DOID:0090064	6		synonym
Familial atypical multiple mole melanoma-pancreatic carcinoma syndrome	DOID:9005006	1		synonym
Familial benign cervical lipomatosis	DOID:14116	0		synonym
Familial benign chronic pemphigus	DOID:0050429	1		synonym
Familial benign hypercalcemia	DOID:11202	16		synonym
Familial benign hypocalciuric hypercalcemia	DOID:0060699	3		synonym
Familial benign hypocupremia	DOID:9007698	0		synonym
Familial berry aneurysm	DOID:0060228	1		synonym
Familial bicuspid aortic valve	DOID:0080332	18		synonym
Familial caudal dysgenesis	DOID:9006398	0		synonym
